bucket_key,knife_model_id,knife_name,match_mode,handle_bucket,blade_bucket,strict_blade,ordered_qty,inventory_qty,gap_ordered_minus_inventory,order_examples,inventory_item_ids
nh:334:orange/black,334,Badrock,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 402536 2025-11-29 qty=1 | BADROCK - ORANGE & BLACK,242
nh:306:coyote,306,Battle Goat,model_plus_handle,coyote,(blade ignored),no,1,1,0,order 191391 2024-10-11 qty=1 | BATTLE GOAT - BLK/COY,227
nh:306:odgreen,306,Battle Goat,model_plus_handle,odgreen,(blade ignored),no,1,1,0,order 190830 2024-10-11 qty=1 | BATTLE GOAT - COY/OD,226
nh:283:orange/black,283,Beartooth,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 130066 2024-04-15 qty=1 | BEARTOOTH - PRO SKINNING BLADE - ORANGE & BLACK,196
nh:293:black,293,Bighorn Chef,model_plus_handle,black,(blade ignored),no,1,1,0,order 138935 2024-05-17 qty=1 | MKC CULINARY SET - BLACK,252
nh:293:orange/black,293,Bighorn Chef,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 138548 2024-05-17 qty=1 | MKC CULINARY SET - ORANGE & BLACK,253
nh:365:orange/black,365,Blackfoot 2.0 Mike Rowe Works,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 181871 2024-09-16 qty=1 | mikeroweWORKS - BLACKFOOT 2.0 / Orange & Black,233
nh:347:black/red,347,Blood Brothers Blackfoot 2.0,model_plus_handle,black/red,(blade ignored),no,2,2,0,order 147096 2024-06-14 qty=2 | BLOOD BROTHERS BLACKFOOT 2.0 - BLACK/RED,232
nh:349:black/red,349,Blood Brothers Mini Speedgoat 2.0,model_plus_handle,black/red,(blade ignored),no,1,1,0,order 271920 2025-03-07 qty=1 | BLOOD BROTHERS MINI-SPEEDGOAT 2.0 - BLACK/RED,223
nh:296:black,296,Boning Butcher Knife,model_plus_handle,black,(blade ignored),no,1,1,0,order 163309 2024-08-02 qty=1 | BONING BUTCHER KNIFE - BLACK,264
nh:297:black,297,Breaking Butcher Knife,model_plus_handle,black,(blade ignored),no,1,1,0,order 275547 2025-03-15 qty=1 | BREAKING BUTCHER KNIFE - BLACK,263
nh:291:black,291,Cattlemen Cleaver 2.0,model_plus_handle,black,(blade ignored),no,1,1,0,order 171145 2024-08-16 qty=1 | CATTLEMEN CLEAVER 2.0 - BLACK,259
nh:291:orange/black,291,Cattlemen Cleaver 2.0,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 171145 2024-08-16 qty=1 | CATTLEMEN CLEAVER 2.0 - ORANGE & BLACK,260
nh:358:*,358,Damascus Blackfoot 2.0,model_only_singleton_sku,*,(blade ignored),no,1,1,0,order 411019 2025-12-05 qty=1 | VIP - DAMASCUS BLACKFOOT,255
nh:312:orange/black,312,Elkhorn Skinner,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 337829 2025-08-01 qty=1 | ELKHORN SKINNER - ORANGE & BLACK,218
nh:317:black,317,Fieldcraft Survival,model_plus_handle,black,(blade ignored),no,1,1,0,order 152802 2024-07-03 qty=1 | FIELDCRAFT SURVIVAL KNIFE - BLACK,238
nh:317:tan/black,317,Fieldcraft Survival,model_plus_handle,tan/black,(blade ignored),no,1,1,0,order 152742 2024-07-03 qty=1 | FIELDCRAFT SURVIVAL KNIFE - TAN & BLACK,239
nh:301:orange/black,301,Flattail,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 160445 2024-07-26 qty=1 | FLATTAIL - ORANGE & BLACK,240
nh:288:orange/black,288,Freezout,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 292884 2025-04-18 qty=1 | FREEZOUT - ORANGE & BLACK,214
nh:289:orange,289,Great Falls Skinner,model_plus_handle,orange,(blade ignored),no,1,1,0,order 375673 2025-10-14 qty=1 | VIP - GREAT FALLS SKINNER / ORANGE,212
nh:285:orange/black,285,Hellgate Hatchet,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 145176 2024-06-07 qty=1 | HELLGATE HATCHET - ORANGE & BLACK,267
nh:314:black,314,Jackstone,model_plus_handle,black,(blade ignored),no,2,2,0,order 130919 2024-04-19 qty=1 | JACKSTONE  - BLACK | order 131017 2024-04-19 qty=1 | JACKSTONE  - BLACK,236
nh:314:orange/black,314,Jackstone,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 130737 2024-04-19 qty=1 | JACKSTONE  - ORANGE AND BLACK,237
nh:369:olive/tan,369,Jackstone Snyder Edition,model_plus_handle,olive/tan,(blade ignored),no,1,1,0,order 273064 2025-03-08 qty=1 | JACKSTONE  - SNYDER EDITION - OLIVE & TAN,269
nh:294:black,294,Little Bighorn Petty,model_plus_handle,black,(blade ignored),no,1,1,0,order 138935 2024-05-17 qty=1 | MKC CULINARY SET - BLACK,250
nh:294:orange/black,294,Little Bighorn Petty,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 138548 2024-05-17 qty=1 | MKC CULINARY SET - ORANGE & BLACK,251
nh:302:orange/black,302,MKC Chopper,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 356680 2025-09-05 qty=1 | MKC CHOPPER - ORANGE & BLACK,198
nh:300:black,300,MKC Steak Knives (Set of 4),model_plus_handle,black,(blade ignored),no,1,1,0,order 215979 2024-11-27 qty=1 | MKC STEAK KNIVES (SET OF 4) - BLACK,254
nh:286:buckskin,286,MKC Whitetail,model_plus_handle,buckskin,(blade ignored),no,1,1,0,order 132333 2024-04-26 qty=1 | MKC WHITETAIL - BUCK SKIN,268
nh:286:orange/black,286,MKC Whitetail,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 132094 2024-04-26 qty=1 | MKC WHITETAIL - ORANGE & BLACK,203
nh:340:orange/black,340,Magnacut Speedgoat 2.0,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 133777 2024-05-03 qty=1 | MAGNACUT SPEEDGOAT 2.0 - ORANGE & BLACK,221
nh:298:black,298,Meat Church Chef Knife,model_plus_handle,black,(blade ignored),no,2,2,0,order 188223 2024-10-04 qty=1 | MEAT CHURCH CHEF KNIFE - BLACK | order 267326 2025-02-21 qty=1 | MEAT CHURCH CHEF KNIFE - BLACK,256
nh:305:odgreen,305,Mini Wargoat,model_plus_handle,odgreen,(blade ignored),no,1,1,0,order 315827 2025-06-13 qty=1 | MINI WARGOAT - COY/OD,229
nh:287:orange/black,287,Packout Skinner,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 369259 2025-10-03 qty=1 | PACKOUT SKINNER - ORANGE & BLACK,241
nh:330:odgreen,330,SERE 25,model_plus_handle,odgreen,(blade ignored),no,1,1,0,order 290304 2025-04-11 qty=1 | SERE25 - COY/OD,230
nh:328:black,328,Sharptailed,model_plus_handle,black,(blade ignored),no,1,1,0,order 185980 2024-09-27 qty=1 | SHARPTAILED - BLACK,262
nh:348:black,348,Shedhorn Chef,model_plus_handle,black,(blade ignored),no,1,1,0,order 234113 2024-12-20 qty=1 | SHEDHORN CHEF - BLACK,257
nh:292:black,292,Smith River Santoku,model_plus_handle,black,(blade ignored),no,1,1,0,order 138935 2024-05-17 qty=1 | MKC CULINARY SET - BLACK,248
nh:292:orange/black,292,Smith River Santoku,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 138548 2024-05-17 qty=1 | MKC CULINARY SET - ORANGE & BLACK,249
nh:324:*,324,Speedgoat Ultra,model_only_singleton_sku,*,(blade ignored),no,1,1,0,order 176363 2024-08-30 qty=1 | SPEEDGOAT ULTRA,213
nh:313:orange/black,313,Stubhorn,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 150582 2024-06-28 qty=1 | STUBHORN - ORANGE & BLACK,206
nh:282:orange/black,282,Super Cub,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 127179 2024-04-03 qty=1 | SUPER CUB - DROP POINT HUNTER - ORANGE & BLACK,202
nh:318:odgreen,318,TF24,model_plus_handle,odgreen,(blade ignored),no,1,1,0,order 180545 2024-09-13 qty=1 | TF24 - COY/OD,228
nh:284:orange/black,284,The Marshall Bushcraft Knife,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 137128 2024-05-10 qty=1 | THE MARSHALL BUSHCRAFT KNIFE - ORANGE & BLACK,197
nh:316:orange/black,316,The Rocker,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 263487 2025-02-14 qty=1 | ROCKER - ORANGE & BLACK,217
nh:315:orange/black,315,The Stockyard,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 224078 2024-12-06 qty=1 | STOCKYARD - ORANGE & BLACK,210
nh:337:*,337,Traditions Jackstone,model_only_singleton_sku,*,(blade ignored),no,1,1,0,order 309440 2025-05-30 qty=1 | TRADITIONS JACKSTONE,235
nh:338:*,338,Traditions MKC Whitetail,model_only_singleton_sku,*,(blade ignored),no,1,1,0,order 140790 2024-05-24 qty=1 | TRADITIONS MKC WHITETAIL,204
nh:331:orange/black,331,Triumph Hunter,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 145901 2024-06-08 qty=1 | NOCK ON - TRIUMPH HUNTER - ORANGE & BLACK,208
nh:333:orange/black,333,Triumph Hunter XL,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 145901 2024-06-08 qty=1 | NOCK ON - TRIUMPH HUNTER XL - ORANGE & BLACK,209
nh:303:orange/black,303,Triumph Pro,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 358075 2025-09-07 qty=1 | VIP - TRIUMPH PRO / ORANGE & BLACK,207
nh:307:odgreen,307,V24,model_plus_handle,odgreen,(blade ignored),no,1,1,0,order 212785 2024-11-19 qty=1 | VIP - V24 / COY / OD,225
nh:304:odgreen,304,Wargoat,model_plus_handle,odgreen,(blade ignored),no,1,1,0,order 227466 2024-12-11 qty=1 | VIP - WARGOAT / Coyote/OD Green,224
nh:320:orange/black,320,Westslope,model_plus_handle,orange/black,(blade ignored),no,1,1,0,order 274531 2025-03-14 qty=1 | WESTSLOPE - ORANGE & BLACK,211
